seriesuid,coordX-error,coordY-error,coordZ-error,diameter_mm-error
LKDS-00060,153.7140788043,37.108100543500015,0.6000000243309387,15.76753416841293
LKDS-00060,172.0734538043,19.483100543500015,0.6000000243309387,5.553021280119175
LKDS-00060,63.38595380429999,29.764350543500015,0.6000000243309387,19.858264835527187
LKDS-00060,199.2453288043,23.845024456499985,0.6000000243309387,5.629962293455357
LKDS-00060,8.307828804299987,40.045600543500015,0.6000000233527771,12.94349280183578
LKDS-00060,155.1828288043,29.029975543500015,4.890807758783922e-10,3.2055331152174418
LKDS-00166,27.038087391362794,106.70201633766126,0.86823855800003,11.27939596225664
LKDS-00327,187.5697804235705,24.12005831254585,1.675516614341177e-09,9.49568319300271
LKDS-00327,60.10291667215907,9.805597677360609,1.675516614341177e-09,2.1302559377803707
LKDS-00327,25.339226558137767,9.280349836219713,1.675516614341177e-09,8.027149915491114
LKDS-00327,139.8549116396197,12.006913766731188,1.675516614341177e-09,5.959811448846827
LKDS-00327,26.020867540765636,51.54209075914757,1.675516614341177e-09,3.4022929666385746
LKDS-00157,142.9455862499371,11.10963802120105,0.9999389649999557,4.2241925913202145
LKDS-00157,0.7580366588726548,1.5393221833409427,0.9999389649999557,11.988126782764258
LKDS-00157,152.5159020877972,1.5393221833409427,6.103500004428497e-05,0.4630975443231442
LKDS-00157,129.9573004699841,72.2888285658656,6.103500004428497e-05,8.679294614185157
LKDS-00226,191.15341126953882,80.561363760677,0.4032661839999889,27.92883771682324
LKDS-00226,165.41902768646997,84.13558370276989,0.4032661839999889,22.97957128310742
LKDS-00226,207.59482300316614,54.11213618918958,0.4032661839999889,33.141949594264645
LKDS-00226,3.864286303871083,3.0753828842967526,0.4032661839999889,9.391196191554684
LKDS-00226,189.00887930428308,19.51679461792407,0.4032661839999889,26.333074510341305
LKDS-00226,186.86434733902735,49.108228270259524,1.653266183999989,14.267592370753903
LKDS-00310,1.9333777415263,28.520933279986963,0.6999999880836612,4.158395965880107
LKDS-00310,0.32790970678203735,8.45258284568368,0.6999999880836612,1.741609851533223
LKDS-00310,147.37514948969013,50.99748576640664,4.590106073010247e-12,18.901934901887227
LKDS-00310,145.76968145494587,59.827559957500085,0.6999999880744809,1.743622024840068
LKDS-00121,1.123369764900005,68.0892955547,0.625,24.52280290832593
LKDS-00121,45.654619764900005,45.1919544453,0.625,22.345451433563966
LKDS-00121,48.779619764900005,45.1919544453,0.0,17.78828438034131
LKDS-00121,204.34538023509998,131.12945444529998,0.0,13.836830217743653
LKDS-00365,119.09556806049994,146.56287038323762,0.9999877900000911,0.9506610394803614
LKDS-00365,46.5799058672016,144.47107243535402,0.9999877900000911,1.6711128712979884
LKDS-00365,151.1698032613819,128.43395483491304,0.9999877900000911,0.0971595286043554
LKDS-00354,19.88502929095729,7.067347517101695,0.5999511942327445,5.468587040775293
LKDS-00354,149.07602408047217,9.15328644761317,0.6000488534509714,13.03085720526504
LKDS-00354,13.489993597226302,52.958003988354136,0.6000488534509714,5.267762303226465
LKDS-00017,21.56137495293663,8.400666321511494,1.4167826359999935,11.635527058311325
LKDS-00017,12.715974757527846,26.910435165162312,1.4167826359999935,20.551295681663376
LKDS-00017,24.30356292977379,30.33817013620876,0.16678263599999354,30.78791777677141
LKDS-00017,221.0555502678399,29.65262314199947,0.16678263599999354,22.7595257002791
LKDS-00017,148.3875688816552,89.98075863241695,1.0832173640000065,19.530719204612595
LKDS-00241,21.776171349050287,11.369514182217529,111.25,6.114091823523243
LKDS-00241,151.85425343370605,7.419542118899415,111.25,2.4270973702023433
LKDS-00241,185.81908597803283,24.763286396853516,111.25,11.104310224478443
LKDS-00241,68.74881210184265,28.37656645476062,111.25,7.070374916022022
LKDS-00241,186.54174198961425,67.39999108015735,111.25,5.259230564062793
LKDS-00241,181.4831499085443,21.48669834435742,108.75,6.913450668280323
LKDS-00241,168.47534170007873,103.5327916592284,108.75,1.8704624672482417
LKDS-00241,156.19018950319457,30.158570483334472,1.25,5.811407993262012
LKDS-00241,176.42455782747436,55.837494894854615,1.25,3.1265172461916997
LKDS-00241,38.39725961542297,20.764042332776,97.5,10.342771242087085
LKDS-00241,184.37377395487,30.158570483334472,67.5,11.714899967138965
LKDS-00241,156.19018950319457,5.5882660895661616,67.5,9.547649810736377
